Age,Department,Education,JobRole,YearsExperience,MonthlyIncome,TrainingCount,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating
49,Operations,Masters,Operations Executive,15,95771,1,2,4,1,1
55,HR,MBA,HR Executive,31,62961,1,2,3,0,1
46,HR,Masters,HR Manager,13,57174,6,3,4,0,3
51,Sales,Bachelors,Sales Executive,24,51376,4,4,1,0,1
41,HR,MBA,HR Executive,17,67991,2,3,4,1,1
54,IT,MBA,Data Scientist,10,49399,4,2,1,0,1
56,Sales,Diploma,Sales Executive,5,39619,4,3,2,0,2
34,Finance,Bachelors,Accountant,5,76784,4,4,2,1,2
29,Operations,MBA,Operations Executive,4,79734,3,2,2,0,2
49,Sales,Bachelors,Sales Manager,7,20656,5,1,3,1,3
50,IT,Masters,Data Scientist,12,96395,2,4,4,0,1
53,Operations,MBA,Operations Manager,4,41798,4,4,4,0,3
56,Operations,MBA,Operations Manager,24,84211,6,2,4,0,3
50,IT,Diploma,Software Engineer,17,28511,1,3,1,0,1
53,Operations,MBA,Operations Manager,8,80114,4,4,3,1,3
55,Finance,Bachelors,Finance Analyst,33,40136,6,2,3,0,3
23,Operations,Diploma,Operations Manager,0,58834,4,2,3,0,1
40,Operations,Bachelors,Operations Executive,5,107818,4,2,3,1,3
27,Sales,MBA,Sales Executive,4,45513,4,2,1,1,1
50,Operations,Diploma,Operations Manager,21,117444,5,2,3,1,3
49,IT,Diploma,Data Analyst,19,73538,4,2,1,1,1
38,IT,Masters,Data Scientist,11,79883,4,2,3,1,3
54,Operations,MBA,Operations Manager,16,73026,4,3,3,1,3
52,Finance,MBA,Finance Analyst,5,110392,5,3,4,0,3
41,Operations,Masters,Operations Executive,0,97564,3,3,1,1,1
37,Sales,MBA,Sales Executive,5,60333,1,1,2,0,2
23,HR,Diploma,HR Manager,1,46388,3,2,3,0,1
47,IT,Masters,Data Scientist,10,98795,6,2,2,0,2
56,HR,Diploma,HR Executive,32,65790,1,4,4,1,1
52,HR,Masters,HR Manager,28,114707,4,2,3,1,3
46,Operations,Bachelors,Operations Manager,6,32718,4,2,1,0,1
45,Operations,Bachelors,Operations Manager,17,69298,1,1,2,1,2
28,IT,Diploma,Data Analyst,5,44323,3,1,4,1,3
53,Sales,Bachelors,Sales Executive,10,42069,4,4,3,0,3
31,HR,Diploma,HR Manager,8,104116,6,4,1,1,1
49,HR,MBA,HR Executive,23,103728,3,3,1,1,1
56,Operations,Diploma,Operations Executive,18,21601,6,2,4,0,3
28,Operations,Bachelors,Operations Manager,6,96385,2,3,3,0,1
26,Operations,Diploma,Operations Executive,3,24098,1,4,3,0,1
52,Sales,Bachelors,Sales Manager,10,22471,2,2,3,0,1
56,HR,Diploma,HR Manager,26,92235,1,2,1,0,1
29,IT,Diploma,Data Analyst,6,28835,1,4,2,1,2
25,Operations,Diploma,Operations Executive,3,95783,4,4,3,0,3
53,Finance,Bachelors,Finance Analyst,23,107289,1,2,3,1,1
22,IT,Diploma,System Analyst,0,56441,1,3,2,0,2
22,Sales,Diploma,Sales Manager,1,103257,5,4,2,0,2
35,Operations,Bachelors,Operations Executive,8,21917,2,2,3,1,1
55,IT,Bachelors,Data Scientist,7,82628,3,4,4,0,3
31,IT,Bachelors,System Analyst,7,106028,6,2,3,1,3
46,IT,Masters,System Analyst,5,81559,6,3,2,1,2
31,Operations,MBA,Operations Manager,10,61494,6,3,2,0,2
55,IT,Diploma,Data Scientist,33,26345,4,1,1,0,1
49,IT,Masters,Data Scientist,7,106415,4,1,1,0,1
41,Finance,Bachelors,Finance Analyst,5,118236,2,4,2,0,2
